"No.","Time","Source","Destination","Protocol","Length","Info"
"159","5.276364900","192.168.79.132","192.168.79.131","TCP","60","62409  >  20222 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"160","5.279129000","192.168.79.132","192.168.79.131","TCP","60","62409  >  3914 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"161","5.283441300","192.168.79.132","192.168.79.131","TCP","60","62409  >  1071 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"162","5.286615000","192.168.79.132","192.168.79.131","TCP","60","62409  >  1096 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"163","5.289260900","192.168.79.132","192.168.79.131","TCP","60","62409  >  2604 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"164","5.291870600","192.168.79.132","192.168.79.131","TCP","60","62409  >  3372 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"165","5.291870600","192.168.79.132","192.168.79.131","TCP","60","62409  >  2608 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"166","5.291870600","192.168.79.132","192.168.79.131","TCP","60","62409  >  264 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"167","5.294500500","192.168.79.132","192.168.79.131","TCP","60","62409  >  9485 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"168","5.309578000","192.168.79.131","192.168.79.2","NBNS","110","Refresh NB DESKTOP-5S7AV1H<20>"
"169","5.373402100","192.168.79.132","192.168.79.131","TCP","60","62407  >  2001 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"170","5.376364000","192.168.79.132","192.168.79.131","TCP","60","62407  >  801 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"171","5.379094300","192.168.79.132","192.168.79.131","TCP","60","62407  >  5915 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"172","5.384090300","192.168.79.132","192.168.79.131","TCP","60","62407  >  7676 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"173","5.387227600","192.168.79.132","192.168.79.131","TCP","60","62407  >  5033 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"174","5.389768600","192.168.79.132","192.168.79.131","TCP","60","62407  >  63331 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"175","5.392410700","192.168.79.132","192.168.79.131","TCP","60","62407  >  5963 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"176","5.392410700","192.168.79.132","192.168.79.131","TCP","60","62407  >  32770 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
